成立年份,成立月份,交通运输、仓储和邮政业,住宿和餐饮业,信息传输、软件和信息技术服务业,公共管理、社会保障和社会组织,农、林、牧、渔业,制造业,卫生和社会工作,国际组织,居民服务、修理和其他服务业,建筑业,房地产业,批发和零售业,教育,文化、体育和娱乐业,水利、环境和公共设施管理业,电力、热力、燃气及水生产和供应业,科学研究和技术服务业,租赁和商务服务业,采矿业,金融业,总数
1985.0,1,5,0,0,3,1,21,0,0,1,3,0,27,0,0,2,2,0,1,2,4,72
1985.0,2,1,1,0,2,1,12,0,0,0,1,3,20,0,0,0,0,0,0,1,0,42
1985.0,3,5,1,0,2,0,23,0,0,2,8,2,35,0,0,0,1,1,1,2,0,83
1985.0,4,3,9,0,4,3,38,1,0,1,12,0,27,0,2,0,2,2,1,4,0,109
1985.0,5,5,8,0,3,1,40,0,0,4,16,3,67,0,0,0,1,2,1,4,1,156
1985.0,6,23,13,0,1,1,35,0,0,8,9,0,61,0,4,3,4,1,2,4,2,171
1985.0,7,7,6,0,0,0,57,0,0,7,10,0,132,0,0,0,2,2,0,4,0,227
1985.0,8,7,4,0,0,1,29,1,0,2,5,0,72,0,1,0,0,1,2,0,1,126
1985.0,9,12,3,0,1,3,21,1,0,5,3,0,49,0,2,1,0,2,3,3,2,111
1985.0,10,8,7,0,2,0,26,0,0,1,3,0,29,0,0,0,0,0,1,3,1,81
1985.0,11,1,4,0,1,0,27,0,0,0,1,0,27,0,0,0,0,2,0,2,0,65
1985.0,12,3,4,1,0,0,22,0,0,2,1,3,23,0,0,0,0,0,2,0,0,61
1986.0,1,0,2,0,0,1,10,1,0,1,3,0,10,0,0,0,0,0,0,1,2,31
1986.0,2,0,0,0,0,1,1,0,0,0,0,0,3,0,0,0,0,0,0,0,1,6
1986.0,3,2,2,0,3,1,16,0,0,1,1,1,12,0,0,0,0,0,1,1,1,42
1986.0,4,2,2,0,0,0,13,0,0,0,4,0,19,0,0,0,0,0,0,1,0,41
1986.0,5,2,3,0,0,0,23,0,0,0,1,0,17,0,0,0,0,0,0,3,0,49
1986.0,6,7,5,0,1,0,19,0,0,1,1,0,24,0,0,0,1,0,0,0,14,73
